# MJD Mag Magerr
5.993517708329999732e+04 2.103437609999999935e+01 1.142264727888266801e-01
6.011343128469999647e+04 2.123514940000000095e+01 1.235912500419711763e-01
6.011641282409999985e+04 2.097205160000000035e+01 1.113194366032159849e-01
6.011943546300000162e+04 2.074394990000000050e+01 1.006800548292555442e-01
6.012142112269999780e+04 2.108404540000000083e+01 1.165432013842604558e-01
6.013334633100000065e+04 2.096936039999999934e+01 1.111939230282350394e-01
6.013540971059999720e+04 2.098077579999999998e+01 1.117264062542736719e-01
6.013738072919999831e+04 2.145480540000000147e+01 1.338367273768699683e-01
6.013943662040000345e+04 2.122624779999999944e+01 1.231760192623889139e-01
6.014443075230000250e+04 2.116809269999999898e+01 1.204634480482062314e-01
6.014844410880000214e+04 2.114216229999999896e+01 1.192540020030630477e-01
6.015042787040000258e+04 2.145476719999999915e+01 1.338349574885966398e-01
6.017433791670000210e+04 2.132774540000000130e+01 1.279102059355567977e-01
6.017934289349999744e+04 2.124127010000000126e+01 1.238766687444496778e-01
6.018136354169999686e+04 2.171576689999999843e+01 1.460088217889150830e-01
6.018340923610000027e+04 2.141441349999999844e+01 1.319526788350578184e-01
6.019428710649999994e+04 2.145465469999999897e+01 1.338296464095631577e-01
6.019638880790000258e+04 2.105883030000000034e+01 1.408791283727193477e-01
6.020047600689999672e+04 2.116699029999999837e+01 1.204120286572919057e-01
6.020222645829999965e+04 2.103593250000000126e+01 1.142990502288476901e-01
6.020432668980000017e+04 2.120208739999999992e+01 1.220490968212508825e-01
6.020528452549999929e+04 2.152152440000000055e+01 1.660611121604018414e-01
6.020528498840000248e+04 2.111068729999999860e+01 1.437014503375167729e-01
6.020630285880000156e+04 2.145125390000000110e+01 1.336710062960971834e-01
6.021225376159999723e+04 2.123310090000000017e+01 1.234956612259700548e-01
6.022426568289999705e+04 2.165001489999999862e+01 1.429418797687000975e-01
6.023221755790000316e+04 2.131182289999999924e+01 1.271674942066171876e-01
6.023422081020000041e+04 2.107485580000000169e+01 1.161145673956407859e-01
6.023620320599999832e+04 2.101294520000000077e+01 1.132269186637566705e-01
6.023820332179999969e+04 2.130301090000000030e+01 1.541686197904531541e-01
6.023824149310000212e+04 2.115424540000000064e+01 1.198175894421924931e-01
6.023920616899999732e+04 2.094570919999999958e+01 1.347225695391370270e-01
6.024423881940000138e+04 2.022765160000000151e+01 9.358457981262384429e-02
6.025417576389999886e+04 2.124788669999999868e+01 1.241853519671359540e-01
6.025915732640000351e+04 2.125709919999999897e+01 1.246149971184527111e-01
6.026119476849999774e+04 2.121908949999999905e+01 1.228421319255940114e-01
6.026212024309999833e+04 2.092843630000000132e+01 1.092850925150626318e-01
6.043442812499999854e+04 2.099033929999999870e+01 1.121724888098258738e-01
6.044045119210000121e+04 2.093820949999999925e+01 1.097409529431851161e-01
6.044245413189999817e+04 2.108528520000000128e+01 1.166010264555055603e-01
6.044445188659999985e+04 2.129830739999999878e+01 1.265371459878487648e-01
