###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57542.603002  21.448  1.600    10   15 c  0   1.06 341.47850  37.72398   386.38  5629.65 4.04 3.50 -50.0 -0.425 19.55 21.48 02a57542o0702c
57542.607145  19.951  0.435    38   16 c  0   1.12 341.47850  37.72398 10034.57  5615.34 4.18 3.40  76.9 -0.448 19.46 21.33 02a57542o0708c
57542.619929 -20.398  2.424   -25   61 c  0   1.31 341.47850  37.72398   338.45  5552.95 4.12 3.57 -52.2 -0.407 18.21 19.00 02a57542o0728c
57542.623877  18.111  0.955   207  198 c  0   1.15 341.47850  37.72398 10003.79  5733.72 4.18 3.29  80.2 -0.513 17.77 18.14 02a57542o0734c
57546.588788  20.789  0.808    18   14 c  0   0.96 341.47850  37.72398  2516.02  6056.45 3.74 3.48 -53.1 -0.433 19.67 21.68 02a57546o0545c
57546.599247  21.125  1.103    13   14 c  0   1.10 341.47850  37.72398  2532.67  6096.30 3.69 3.44 -57.2 -0.438 19.65 21.62 02a57546o0563c
57550.557120  21.966  3.500     6   21 c  0   1.05 341.47850  37.72398  1332.50  5198.56 4.00 3.58 -31.3 -0.454 19.30 21.27 02a57550o0513c
57550.573855  20.600  0.833    21   17 c  0   1.23 341.47850  37.72398  1347.55  5238.85 4.07 3.70 -47.5 -0.442 19.38 21.42 02a57550o0536c
57581.499949  20.968  1.444    15   22 c  0   0.99 341.47850  37.72398  9749.22  6585.37 4.34 3.38  83.0 -0.445 19.28 21.31 02a57581o0504c
57581.520441 -21.874  2.400    -6   16 c  0   1.09 341.47850  37.72398  9771.93  6620.83 4.26 3.39  81.9 -0.450 19.62 21.73 02a57581o0545c
57581.528761  20.581  1.000    21   21 c  0   0.79 341.47850  37.72398    69.67  6541.77 4.25 3.60 -54.9 -0.393 19.59 21.70 02a57581o0560c
57581.529805 -23.264  8.250    -2   15 c  0   1.34 341.47850  37.72398  9704.76  6546.66 4.33 3.48  80.9 -0.454 19.56 21.68 02a57581o0562c
57581.534682 -20.699  0.854   -19   16 c  0   1.28 341.47850  37.72398  9693.04  6663.19 4.27 3.41  81.3 -0.453 19.49 21.57 02a57581o0572c
57581.546185  22.993  7.000     2   16 c  0   1.13 341.47850  37.72398  9713.24  6610.37 4.36 3.49  82.6 -0.450 19.53 21.66 02a57581o0594c
57597.493367 -23.038  7.667    -2   17 o  0   1.16 341.47850  37.72398  2883.17  5142.39 3.72 3.47 -54.5 -0.439 19.32 21.05 02a57597o0424o
57597.501044  20.783  0.878    18   16 o  0   1.29 341.47850  37.72398  2903.47  5183.93 3.65 3.42 -54.0 -0.448 19.34 21.05 02a57597o0439o
57597.509970  23.059  8.000     2   17 o  0   1.06 341.47850  37.72398  2843.75  5102.93 3.67 3.43 -54.7 -0.449 19.35 21.07 02a57597o0457o
57597.525135 -21.477  1.833    -9   17 o  0   1.18 341.47850  37.72398  2840.62  5214.34 3.82 3.60 -52.9 -0.429 19.30 21.03 02a57597o0488o
57597.534148 -22.940  7.833    -2   19 o  0   1.12 341.47850  37.72398  2860.15  5162.26 3.90 3.70 -51.5 -0.423 19.27 21.01 02a57597o0506o
57598.471882  20.955  1.273    15   19 o  0   1.24 341.47850  37.72398  9525.85  4644.31 4.22 3.67  75.2 -0.468 19.31 21.21 02a57598o0478o
57598.479813  20.762  1.220    18   22 o  0   0.85 341.47850  37.72398  9547.37  4687.11 4.15 3.55  76.4 -0.475 19.34 21.21 02a57598o0494o
57598.501718  22.599  6.286     3   21 o  0   1.02 341.47850  37.72398  9482.58  4611.15 4.35 3.77  75.0 -0.455 19.29 21.21 02a57598o0539o
57598.513418 -21.254  1.760   -11   20 o  0   0.96 341.47850  37.72398  9467.87  4722.03 4.25 3.74  75.5 -0.455 19.27 21.15 02a57598o0563o
57598.515482 -21.546  2.471    -9   22 o  0   1.01 341.47850  37.72398  1049.32  5864.08 4.48 3.96 -47.6 -0.413 19.22 21.16 02a57598o0567o
57605.465581  24.935 35.000     0   14 c  0   0.94 341.47850  37.72398  9465.25  6496.17 4.18 3.52  79.0 -0.445 19.71 21.83 02a57605o0446c
57605.477206  21.217  1.250    12   15 c  0   1.01 341.47850  37.72398  9478.13  6529.02 4.09 3.42  81.4 -0.448 19.72 21.83 02a57605o0468c
57605.495413  21.015  0.946    14   14 c  0   1.11 341.47850  37.72398  9415.70  6454.58 4.18 3.55  79.5 -0.441 19.70 21.82 02a57605o0503c
57605.504156  20.099  0.475    33   16 c  0   0.79 341.47850  37.72398  1139.34  3923.50 4.31 3.73 -27.1 -0.413 19.67 21.85 02a57605o0520c
57605.521358 -23.267  9.250    -2   17 c  0   0.82 341.47850  37.72398  1107.28  3980.39 4.63 3.80 -16.0 -0.390 19.64 21.87 02a57605o0553c
57609.476630 -21.137  1.161   -13   15 c  0   1.04 341.47850  37.72398  2568.07  3446.46 4.09 3.53 -24.2 -0.443 19.65 21.79 02a57609o0471c
57609.490360  23.190  7.200     2   14 c  0   1.10 341.47850  37.72398  7961.13  6994.60 4.11 3.51  85.1 -0.454 19.75 21.95 02a57609o0496c
57609.501806  21.086  1.464    13   20 c  0   1.03 341.47850  37.72398  8005.50  7071.23 4.16 3.77  82.6 -0.436 19.49 21.67 02a57609o0519c
57609.515350  21.902  2.438     6   15 c  0   0.93 341.47850  37.72398  8035.45  6958.32 4.20 3.55  83.7 -0.447 19.74 21.93 02a57609o0543c
57609.522523  23.970 16.000     1   15 c  0   1.57 341.47850  37.72398  7985.71  7010.95 4.24 3.56  85.4 -0.453 19.53 21.67 02a57609o0557c
57613.462353 -20.818  1.238   -17   21 o  0   1.11 341.47850  37.72398  1031.61  4731.47 3.82 3.46 -52.2 -0.465 19.13 21.06 02a57613o0448o
57613.471874 -20.062  0.589   -34   20 o  0   0.95 341.47850  37.72398  2184.10  4808.29 3.69 3.41 -52.7 -0.458 19.17 21.13 02a57613o0466o
57613.478816  23.755 17.333     1   20 o  0   1.11 341.47850  37.72398  2121.91  4729.80 3.69 3.40 -50.3 -0.460 19.19 21.16 02a57613o0479o
57617.461295  20.276  1.324    28   37 o  0   0.84 341.47850  37.72398  2781.61  5076.65 3.69 3.29 -47.6 -0.493 18.50 19.99 02a57617o0458o
57617.469141 -20.994  2.395   -14   35 o  0   1.33 341.47850  37.72398  7721.08  5326.66 3.85 3.15  86.5 -0.484 18.53 19.98 02a57617o0473o
57617.478969  19.610  0.624    52   32 o  0   1.58 341.47850  37.72398  7764.64  5409.76 3.92 3.19  85.2 -0.487 18.52 19.99 02a57617o0491o
57617.486866  21.067  2.743    14   37 o  0   0.90 341.47850  37.72398  7794.64  5288.02 3.87 3.16  84.3 -0.489 18.53 19.99 02a57617o0506o
57617.508031 -21.829  5.167    -7   35 o  0   1.10 341.47850  37.72398  7745.59  5347.58 3.85 3.11  84.0 -0.487 18.54 19.98 02a57617o0545o
57621.459503 -19.480  1.164   -59   68 o  0   0.94 341.47850  37.72398  8577.96  4993.45 4.48 3.27  88.7 -0.426 18.19 19.73 02a57621o0412o
57621.471375 -18.667  0.485  -124   60 o  0   0.96 341.47850  37.72398  8561.56  4954.27 4.38 3.14  88.5 -0.438 18.22 19.72 02a57621o0433o
57621.498355 -21.545  7.778    -9   68 o  0   0.77 341.47850  37.72398  8619.23  5036.88 4.49 3.30  87.6 -0.423 18.19 19.71 02a57621o0479o
57621.508262  19.391  1.015    64   65 o  0   0.93 341.47850  37.72398  8632.56  4920.50 4.46 3.32  86.0 -0.412 18.17 19.71 02a57621o0496o
57621.524053  20.675  3.571    20   70 o  0   0.76 341.47850  37.72398  8607.11  4979.74 4.37 3.22  86.7 -0.428 18.22 19.69 02a57621o0524o
57625.441971 -21.374  1.759   -10   18 c  0   0.93 341.47850  37.72398  1623.97  6738.48 3.94 3.59 -51.7 -0.496 19.54 21.44 02a57625o0333c
57625.456224 -21.521  1.840    -9   16 c  0   1.29 341.47850  37.72398  1606.74  6699.79 3.98 3.63 -46.2 -0.477 19.47 21.33 02a57625o0358c
57625.469708 -22.153  4.071    -5   20 c  0   0.96 341.47850  37.72398  1665.61  6774.91 3.96 3.58 -55.0 -0.475 19.45 21.27 02a57625o0381c
57625.484892 -22.311  4.583    -4   20 c  0   0.85 341.47850  37.72398  1681.22  6658.56 3.97 3.58 -54.8 -0.473 19.41 21.21 02a57625o0408c
57625.507476  21.057  1.436    14   20 c  0   1.20 341.47850  37.72398  1652.30  6719.30 3.90 3.53 -54.9 -0.481 19.40 21.18 02a57625o0447c
57636.439539 -14.755  1.060 -4549 4822 c  0   1.23 341.47850  37.72398  8767.46  5003.79 2.74 2.35 -75.2 -0.438 17.61 19.81 02a57636o0385c
57636.450617   1.332  0.860 -12384294904 10656253755 c  0   1.01 341.47850  37.72398  8811.02  5083.96 5.02 3.26 -81.9 -0.408 -2.95 -0.82 02a57636o0406c
57636.464096  -1.657  0.946 16706227156 15803187850 c  0   0.97 341.47850  37.72398  8843.73  4970.77 4.75 3.82  80.2 -0.785 -3.08 -0.93 02a57636o0432c
57636.485912  16.531  0.846   887  750 c  0   0.92 341.47850  37.72398  8796.10  5029.80 4.88 4.42  52.5 -0.870 17.88 20.18 02a57636o0473c
57652.388233 -20.778  1.436   -18   26 o  0   1.18 341.47850  37.72398  9090.97  6296.88 4.28 3.83   3.9 -0.408 18.94 20.50 02a57652o0336o
57652.405583  20.434  1.170    24   28 o  0   0.84 341.47850  37.72398  9072.53  6259.10 4.89 3.86   4.2 -0.395 18.86 20.48 02a57652o0368o
57652.416369  21.526  2.833     9   25 o  0   0.78 341.47850  37.72398  9134.76  6339.20 3.75 3.43  83.3 -0.445 19.05 20.46 02a57652o0389o
57652.437395  19.742  0.466    46   22 o  0   1.34 341.47850  37.72398  9152.65  6224.04 3.74 3.13  88.1 -0.453 19.05 20.39 02a57652o0429o
57652.443587 -20.427  1.028   -24   25 o  0   0.91 341.47850  37.72398  9116.04  6280.87 3.70 3.10 -89.9 -0.447 19.03 20.35 02a57652o0440o
